id,gender,hand,exercise,measure,value
5515,F,non-dominant,isometric,grip_post_isometric,50
5515,F,non-dominant,isometric,isometric_fatigue_time,30
5515,F,non-dominant,isometric,pre_minus_post_isometric,12
4416,F,dominant,isotonic,grip_pre_any_exercise,26
4416,F,dominant,isotonic,grip_post_isotonic,38
4416,F,dominant,isotonic,isotonic_fatigue_time,120
4416,F,dominant,isotonic,post_minus_pre_isotonic,-12
4416,F,dominant,isometric,grip_pre_isometric,26
4416,F,dominant,isometric,grip_post_isometric,20
4416,F,dominant,isometric,isometric_fatigue_time,80
4416,F,dominant,isometric,pre_minus_post_isometric,6
4416,F,non-dominant,isotonic,grip_pre_any_exercise,48
4416,F,non-dominant,isotonic,grip_post_isotonic,20
4416,F,non-dominant,isotonic,isotonic_fatigue_time,135
4416,F,non-dominant,isotonic,post_minus_pre_isotonic,28
4416,F,non-dominant,isometric,grip_pre_isometric,48
4416,F,non-dominant,isometric,grip_post_isometric,22
4416,F,non-dominant,isometric,isometric_fatigue_time,112
4416,F,non-dominant,isometric,pre_minus_post_isometric,26
7814,M,dominant,isotonic,grip_pre_any_exercise,105
7814,M,dominant,isotonic,grip_post_isotonic,105
7814,M,dominant,isotonic,isotonic_fatigue_time,47
7814,M,dominant,isotonic,post_minus_pre_isotonic,0
7814,M,dominant,isometric,grip_pre_isometric,105
7814,M,dominant,isometric,grip_post_isometric,62
7814,M,dominant,isometric,isometric_fatigue_time,82
7814,M,dominant,isometric,pre_minus_post_isometric,43
7814,M,non-dominant,isotonic,grip_pre_any_exercise,62
7814,M,non-dominant,isotonic,grip_post_isotonic,40
7814,M,non-dominant,isotonic,isotonic_fatigue_time,56
7814,M,non-dominant,isotonic,post_minus_pre_isotonic,22
7814,M,non-dominant,isometric,grip_pre_isometric,55
7814,M,non-dominant,isometric,grip_post_isometric,36
7814,M,non-dominant,isometric,isometric_fatigue_time,60
7814,M,non-dominant,isometric,pre_minus_post_isometric,26
7714,F,dominant,isotonic,grip_pre_any_exercise,49
7714,F,dominant,isotonic,grip_post_isotonic,12
7714,F,dominant,isotonic,isotonic_fatigue_time,62
7714,F,dominant,isotonic,post_minus_pre_isotonic,37
