id,gender,hand,exercise,condition,value
2124,F,dominant,isotonic,before,23
2124,F,dominant,isotonic,after,20
2124,F,dominant,isotonic,time,38
2124,F,dominant,isotonic,after-before,3
2124,F,dominant,isometric,before,28
2124,F,dominant,isometric,after,38
2124,F,dominant,isometric,time,30
2124,F,dominant,isometric,after-before,-10
2124,F,non-dominant,isotonic,before-any,20
2124,F,non-dominant,isotonic,after,20
2124,F,non-dominant,isotonic,time,30
2124,F,non-dominant,isotonic,after-before,0
2124,F,non-dominant,isometric,after,38
2124,F,non-dominant,isometric,time,40
1969,M,dominant,isotonic,before,62
1969,M,dominant,isotonic,after,38
1969,M,dominant,isotonic,time,64
1969,M,dominant,isotonic,after-before,24
1969,M,dominant,isometric,before,75
1969,M,dominant,isometric,after,48
1969,M,dominant,isometric,time,43
1969,M,dominant,isometric,after-before,27
1969,M,non-dominant,isotonic,before-any,50
1969,M,non-dominant,isotonic,after,38
1969,M,non-dominant,isotonic,time,61
1969,M,non-dominant,isotonic,after-before,12
1969,M,non-dominant,isometric,before,60
1969,M,non-dominant,isometric,after,38
1969,M,non-dominant,isometric,time,40
1969,M,non-dominant,isometric,after-before,12
1003,M,dominant,isotonic,before,72
1003,M,dominant,isotonic,after,58
1003,M,dominant,isotonic,time,50
1003,M,dominant,isotonic,after-before,14
1003,M,dominant,isometric,before,42
1003,M,dominant,isometric,after,26
1003,M,dominant,isometric,time,17
1003,M,dominant,isometric,after-before,16
1003,M,non-dominant,isotonic,before-any,20
1003,M,non-dominant,isotonic,after,28
1003,M,non-dominant,isotonic,time,104
1003,M,non-dominant,isotonic,after-before,-8
1003,M,non-dominant,isometric,before,13
1003,M,non-dominant,isometric,after,26
1003,M,non-dominant,isometric,time,45
1003,M,non-dominant,isometric,after-before,-6
1920,F,dominant,isotonic,before,31
1920,F,dominant,isotonic,after,20
1920,F,dominant,isotonic,time,100
1920,F,dominant,isotonic,after-before,11
1920,F,dominant,isometric,before,22
1920,F,dominant,isometric,after,26
1920,F,dominant,isometric,time,38
1920,F,dominant,isometric,after-before,-4
1920,F,non-dominant,isotonic,before-any,22
1920,F,non-dominant,isotonic,after,11
1920,F,non-dominant,isotonic,time,100
1920,F,non-dominant,isotonic,after-before,11
1920,F,non-dominant,isometric,before,13
1920,F,non-dominant,isometric,after,26
1920,F,non-dominant,isometric,time,110
1920,F,non-dominant,isometric,after-before,-4
1147,F,dominant,isotonic,before,31
1147,F,dominant,isotonic,after,35
1147,F,dominant,isotonic,time,70
1147,F,dominant,isotonic,after-before,-4
1147,F,dominant,isometric,before,47
1147,F,dominant,isometric,after,38
1147,F,dominant,isometric,time,60
1147,F,dominant,isometric,after-before,9
1147,F,non-dominant,isotonic,before-any,25
1147,F,non-dominant,isotonic,after,10
1147,F,non-dominant,isotonic,time,43
1147,F,non-dominant,isotonic,after-before,15
1147,F,non-dominant,isometric,before,28
1147,F,non-dominant,isometric,after,10
1147,F,non-dominant,isometric,time,52
1147,F,non-dominant,isometric,after-before,15
3803,F,dominant,isotonic,before,35
3803,F,dominant,isotonic,after,28
3803,F,dominant,isotonic,time,32
